Songs							Times in the list							
							4							
"hot girl bummer",							4							
"ily (i love you baby) (feat. Emilee)",							4							
"lovely (with Khalid)",							4							
"my ex's best friend (with blackbear)",							4							
"my future",							3							
"rockstar (feat. 21 Savage)",							4							
"when the party's over",							4							
"you broke me first",							4							
+Linda,							1							
Afterthought,							1							
Azul,							4							
Believer,							4							
Better,							3							
Bruises,							1							
Caramelo,							4							
Circles,							4							
Daisy,							4							
Daylight,							1							
Despeinada,							4							
Diamonds,							4							
Dior,							4							
Dynamite,							4							
Enchule,							1							
Epidemic,							1							
Ew,							1							
Fake,							1							
Falling,							8							
Favorito,							4							
Happier,							4							
Hawái,							4							
Heather,							4							
Jeans,							4							
July,							1							
MAMACITA,							4							
MODUS,							1							
Madrid,							4							
Memories,							4							
Perfect,							4							
Photograph,							3							
Promiscuous,							1							
ROXANNE,							4							
Relación,							4							
Robbery,							4							
Rojo,							4							
Run,							1							
Runnin,							3							
SAD!,							4							
Safaera,							4							
Sanctuary,							1							
Señorita,							4							
Shallow,							4							
Slidin,							1							
Sofia,							3							
Supalonely,							3							
Tusa,							4							
Wonder,							3							
cardigan,							3							
goosebumps,							4							
